group,bench_id,case_label,samples,mean_ns,stdev_ns,throughput_bytes,MBps
flac_read,libflac-i16,44100hz_1ch,50,44492.32,1621.25,3811,81.69
flac_read,libflac-i24,44100hz_1ch,50,47967.54,571.84,4358,86.64
flac_read,libflac-i32,44100hz_1ch,50,48023.86,473.27,4358,86.54
flac_read,libflac-i16,44100hz_2ch,50,83873.26,3139.19,7571,86.09
flac_read,libflac-i24,44100hz_2ch,50,92569.36,6753.14,10172,104.79
flac_read,libflac-i32,44100hz_2ch,50,91004.34,2546.66,10172,106.60
flac_read,libflac-i16,44100hz_6ch,50,221570.88,10565.07,45470,195.71
flac_read,libflac-i24,44100hz_6ch,50,259265.34,3506.99,81221,298.76
flac_read,libflac-i32,44100hz_6ch,50,258569.54,3756.76,81221,299.56
flac_read,libflac-i16,96000hz_1ch,50,74813.92,6956.14,5934,75.64
flac_read,libflac-i24,96000hz_1ch,50,90901.70,2165.87,8523,89.42
flac_read,libflac-i32,96000hz_1ch,50,91244.16,4388.89,8523,89.08
flac_read,libflac-i16,96000hz_2ch,50,155757.80,8180.34,13731,84.07
flac_read,libflac-i24,96000hz_2ch,50,186735.52,4107.73,18343,93.68
flac_read,libflac-i32,96000hz_2ch,50,185769.70,2649.18,18343,94.17
flac_read,libflac-i16,96000hz_6ch,50,445057.64,14559.01,75505,161.79
flac_read,libflac-i24,96000hz_6ch,50,543666.96,7061.98,121143,212.50
flac_read,libflac-i32,96000hz_6ch,50,545885.90,13851.69,121143,211.64
flac_write,libflac-i16,44100hz_1ch,50,69720.04,699.94,22050,301.61
flac_write,libflac-i24,44100hz_1ch,50,87085.28,3401.46,33075,362.21
flac_write,libflac-i32,44100hz_1ch,50,90744.08,10441.93,44100,463.47
flac_write,libflac-i16,44100hz_2ch,50,173670.02,844.71,44100,242.17
flac_write,libflac-i24,44100hz_2ch,50,220056.12,12812.17,66150,286.68
flac_write,libflac-i32,44100hz_2ch,50,216634.88,4142.27,88200,388.28
flac_write,libflac-i16,44100hz_6ch,50,364740.14,4830.36,132300,345.92
flac_write,libflac-i24,44100hz_6ch,50,490784.60,23448.00,198450,385.62
flac_write,libflac-i32,44100hz_6ch,50,487740.52,12139.87,264600,517.37
flac_write,libflac-i16,96000hz_1ch,50,150824.16,14093.10,48000,303.51
flac_write,libflac-i24,96000hz_1ch,50,208447.20,43565.05,72000,329.41
flac_write,libflac-i32,96000hz_1ch,50,177636.90,764.40,96000,515.39
flac_write,libflac-i16,96000hz_2ch,50,369237.40,21110.18,96000,247.95
flac_write,libflac-i24,96000hz_2ch,50,458716.52,5710.76,144000,299.38
flac_write,libflac-i32,96000hz_2ch,50,457626.00,3258.11,192000,400.12
flac_write,libflac-i16,96000hz_6ch,50,781572.32,13275.06,288000,351.42
flac_write,libflac-i24,96000hz_6ch,50,1024167.94,3033.96,432000,402.27
flac_write,libflac-i32,96000hz_6ch,50,1040443.92,36428.89,576000,527.96
